nus_kode	nus_navn	wage_avg	wage_median	wage_q1	wage_q3	employments_50	wage_avg_04	wage_median_04	wage_q1_04	wage_q3_04	employments_04	wage_avg_50	wage_median_50	wage_q1_50	wage_q3_50	employments_50
7231	Humaniora og estetikk, lærerutdanninger	532800	526560	504960	553800	1352	521160	520320	499560	537480	867	552000	547200	521160	576360	485
7621	Sosialfag	543960	542760	486960	594240	1304	520080	519360	465600	566280	624	565080	560040	516600	617280	680
6134	Kulturutdanninger	481440	459120	403200	530880	1299	401760	388920	344400	443160	259	497400	473640	420000	547680	1040
7562	Geofysikk	865320	763680	605880	1043160	1281	531480	533040	467640	573240	142	904560	806520	641160	1082760	1139
6553	Finmekaniske fag	540600	510000	452040	600000	1280	442320	440880	421920	475680	255	563760	539160	478800	615480	1025
6256	Videreutdanninger for lærere, naturvitenskapelige fag, håndverksfag og tekniske fag	551760	563760	526920	585000	1242	551760	563760	526920	585000	1242	NULL	NULL	NULL	NULL	NULL
6239	Fag- og yrkesfaglærerutdanninger, andre	454320	464040	362040	516720	1215	421320	393600	327120	494760	806	491880	491640	450000	531000	409
6829	Sikkerhet, andre	624120	579000	498360	720000	1166	531360	507720	426000	587640	466	679440	630480	546240	767040	700
4829	Sikkerhet, andre	453960	431520	389640	503400	1138	418440	415920	372360	450120	592	489000	460080	408240	557640	546
7121	Litteraturutdanninger	561600	550680	479400	618720	1131	486360	490560	408480	558960	202	575400	558960	490560	625680	929
7561	Geologi	1000800	864000	605040	1249800	1099	527400	522000	466080	568560	175	1084920	973320	676200	1348560	924
6169	Bildende kunst og kunsthåndverk, andre	391800	375000	327480	435000	1094	375120	355200	319080	410040	808	432240	421200	362520	480720	286
7531	Matematikk	698640	618720	536640	750000	1081	526800	518880	466080	578880	291	763320	658440	579960	842280	790
4153	Danse- og ballettutdanninger	376800	343560	309360	421680	1067	330480	321480	296160	350520	692	430200	415800	343440	497280	375
7139	Historisk-filosofiske utdanninger, andre	587040	569040	472560	679200	1053	485520	466080	423120	531960	197	608760	589560	492000	686520	856
7169	Bildende kunst og kunsthåndverk, andre	516840	521640	432000	594360	1049	471240	470280	382680	534600	400	541800	541800	461280	618720	649
6581	Næringsmiddelproduksjon	575760	531240	455400	639960	1038	393720	399960	342600	436560	109	590520	541920	471120	648720	929
7721	Jordbruk	681600	630000	560040	752160	1034	NULL	NULL	NULL	NULL	NULL	683160	630000	561120	752640	1028
6429	Handel og markedsføring, andre	461040	420000	350040	528120	1023	392640	363720	326280	424320	664	554160	519960	450000	609600	359
6252	Videreutdanninger for lærere, humanistiske og estetiske fag	526200	535200	493200	575280	1000	526200	535200	493200	575280	1000	NULL	NULL	NULL	NULL	NULL
6741	Skogbruk	521160	510000	440040	577080	997	406320	396960	345120	452880	158	538200	523800	459960	593280	839
6234	Naturvitenskapelige fag, håndverksfag og tekniske fag, lærerutdanninger	520320	520320	477360	565680	982	472320	494640	410040	527640	470	554280	548400	506280	582960	512
6237	Samferdsel, tjenesteyting og sikkerhet, lærerutdanninger	492000	474240	429720	531600	954	472080	457920	426240	502320	479	511440	483240	440760	548880	475
6152	Teater- og filmutdanninger	438480	420360	338280	493200	925	377280	356760	312960	422400	513	488880	473880	405240	535800	412
6629	Sosialfag, andre	487920	469440	436560	531120	923	432720	429720	389760	458760	252	506160	489240	450960	545520	671
6662	Reseptarfag	486960	482280	431640	521880	916	435240	426840	402840	460680	407	517680	500640	463800	543120	509
6331	Samfunnsgeografi	523320	510840	423360	581040	896	377160	356400	320640	410160	250	555960	537720	467520	595080	646
4553	Finmekaniske fag	563400	527400	438000	648000	894	NULL	NULL	NULL	NULL	NULL	569160	537480	444240	654960	854
4163	Fotofag	437160	407280	347880	490560	884	376920	346560	305280	410160	238	454920	421680	365280	505440	646
4299	Lærerutdanninger og utdanninger i pedagogikk, andre	416880	396000	352680	464280	867	NULL	NULL	NULL	NULL	NULL	417720	393960	352920	464280	789
7711	Fiske og havbruk	705720	639120	549960	786240	860	544920	545280	470040	602880	135	735720	668280	571560	806040	725
7569	Geofag, andre	596880	555960	480360	672000	839	507120	504960	436560	558000	420	675840	637800	540600	763800	419
6235	Helse-, sosial- og idrettsfag, lærerutdanninger	522840	519000	474360	557160	838	467640	466200	428640	508680	139	531720	525000	483000	566160	699
4824	Tollfag	528360	508440	458760	568560	825	NULL	NULL	NULL	NULL	NULL	528360	508440	458760	568560	825
6519	Biologiske fag, andre	428640	399960	331200	496560	818	360840	336840	311040	389760	497	485040	481560	396600	529560	321
4811	Jernbanetrafikkfag	678960	702840	636240	753120	772	652200	689520	571200	738960	260	693120	709560	655440	762600	512
7133	Arkeologi	525240	516360	458280	579360	770	440760	429720	398400	481080	177	547920	542280	482400	596040	593
6659	Terapeutiske fag, andre	492720	470400	380640	560280	739	451680	424680	355080	509160	444	540000	510000	438360	608640	295
6569	Geofag, andre	530040	518880	404040	612000	734	426600	400800	342720	489960	410	609120	579600	518880	680040	324
6011	Generelle programmer	420360	391200	346080	456240	729	NULL	NULL	NULL	NULL	NULL	426240	393120	349200	460560	658
6249	Utdanninger i pedagogikk, andre	530040	531960	491160	579000	709	520320	529080	482880	575760	360	540000	535200	498240	580680	349
7515	Marin- og ferskvannsbiologi	625560	586680	510000	704400	708	485280	474960	433800	530040	111	649920	609000	535440	732120	597
7741	Skogbruk	643440	599880	531120	704760	702	NULL	NULL	NULL	NULL	NULL	661680	609960	548280	724680	634
4823	Politifag	546120	477000	394440	660960	699	NULL	NULL	NULL	NULL	NULL	546120	477000	394440	660960	699
4711	Fiske og havbruk	579240	522240	431040	655920	692	NULL	NULL	NULL	NULL	NULL	591840	528480	441720	673920	610
4833	Andre servicefag, andre	463200	441480	418920	485280	689	449160	436680	412680	474720	246	471240	450240	422760	491040	443
7135	Filosofi og etikk	575400	554160	475320	641640	688	436200	436560	389640	491640	110	596760	570360	503520	649800	578
6253	Videreutdanninger for lærere, pedagogikk	527520	540960	484680	575760	685	527520	540960	484680	575760	685	NULL	NULL	NULL	NULL	NULL
6369	Psykologiske fag, andre	420600	396840	331800	488160	670	386160	360000	321960	442560	510	497520	468480	399960	553800	160
4582	Tekstil- og skinnproduksjon	482160	437280	389760	520320	670	NULL	NULL	NULL	NULL	NULL	488640	443400	391200	523440	620
6372	Kriminologi	567960	531000	441120	623520	666	393240	389040	331200	436920	141	596040	549000	466080	651120	525
7581	Næringsmiddelproduksjon	664680	618960	519960	753480	660	NULL	NULL	NULL	NULL	NULL	690480	649800	543120	780000	565
6689	Idrettsfag, andre	451320	442920	376680	511080	653	389520	382200	331200	427080	283	486720	486840	423240	532680	370
7619	Pleie- og omsorgsfag, andre	588600	578880	528360	631560	646	558240	559080	508440	600600	236	606120	590040	546240	655680	410
7221	Allmenn-/grunnskolelærerutdanninger	557280	536640	511320	592680	645	530400	523560	499920	546000	395	601320	583080	548760	637080	250
7899	Samferdsels- og sikkerhetsfag og andre servicefag, andre	512400	452400	370200	587160	639	NULL	NULL	NULL	NULL	NULL	519960	456000	372840	593040	579
7422	Markedsføring	720120	663240	549960	824520	624	NULL	NULL	NULL	NULL	NULL	756480	687360	586200	849960	539
7513	Mikrobiologi og cellebiologi	546960	490560	450960	574800	621	462960	456360	436560	474360	222	592800	539880	478320	615000	399
7579	Bygg- og anleggsfag, andre	683280	630000	549960	759960	615	621480	579240	513000	674400	313	748200	696000	612960	859800	302
7234	Naturvitenskapelige fag, håndverksfag og tekniske fag, lærerutdanninger	538560	527880	505080	567000	615	525000	519480	499560	548640	406	562560	547920	523200	586560	209
4162	Tre-, metall- og glasshåndverk	430200	408240	364320	478440	604	NULL	NULL	NULL	NULL	NULL	442800	420600	377400	482160	517
6515	Marin- og ferskvannsbiologi	620640	569400	469920	708840	596	NULL	NULL	NULL	NULL	NULL	648480	584040	493080	743280	505
7164	Tegne-, grafikk-, maler- og skulptørutdanninger	523080	510600	431280	600000	594	476640	475080	380640	551760	122	532800	517680	439200	610920	472
7132	Kunsthistorie	538440	527520	458760	591960	589	453360	437640	374160	493560	116	555240	542520	483600	599160	473
7511	Zoologiske fag	663240	622680	558480	702000	588	NULL	NULL	NULL	NULL	NULL	663240	622680	558480	702000	588
4442	Hotell- og restaurantfag	559200	501480	420000	660000	573	NULL	NULL	NULL	NULL	NULL	559200	501480	420000	660000	573
6531	Matematikk	578160	531360	450000	616920	562	402480	392520	339240	439920	169	622440	559080	497280	663600	393
7829	Sikkerhet, andre	696360	654840	549000	794760	539	646440	589560	513360	734400	318	765360	723600	638280	856320	221
4161	Husflid, brukskunst og industridesign	460800	422400	367560	518160	533	350880	350040	310800	396000	105	484320	442800	391200	547560	428
4141	Bibel-, misjonær- og menighetsarbeid	463800	442200	391440	504720	521	NULL	NULL	NULL	NULL	NULL	479280	456480	404160	510960	426
6153	Danse- og ballettutdanninger	426960	399960	327240	474960	521	391440	345840	307800	425640	269	452880	430080	358440	500160	252
4399	Samfunnsfag og juridiske fag, andre	455760	410880	360000	480000	519	NULL	NULL	NULL	NULL	NULL	458280	415560	360000	480000	509
7369	Psykologiske fag, andre	513960	507000	452760	551640	514	475800	487440	422160	516000	288	555120	531480	491520	586800	226
6163	Fotofag	431760	408000	328320	502680	512	370920	348000	306600	415200	311	504120	480000	408720	579960	201
6572	Arkitektur	437280	389760	327240	504960	501	379920	363120	315600	415680	414	NULL	NULL	NULL	NULL	NULL
6233	Økonomi og administrasjon, lærerutdanninger	633000	586800	518880	714720	497	NULL	NULL	NULL	NULL	NULL	639360	589800	524160	720000	471
7152	Teater- og filmutdanninger	545400	547800	464040	612840	468	446640	433200	362760	499560	110	568440	572040	503400	620040	358
6711	Fiske og havbruk	635880	567240	449640	738960	463	489240	438000	373440	593280	201	718080	618000	513120	788160	262
7161	Husflid, brukskunst og industridesign	580680	558960	474960	657960	461	502560	500040	440040	555960	146	617880	600000	500040	701160	315
4611	Sykepleiefag	456360	449280	406560	494760	450	NULL	NULL	NULL	NULL	NULL	456360	449280	406560	494760	450
6161	Husflid, brukskunst og industridesign	476760	450960	370080	552000	438	381600	358440	318720	413760	150	509280	481800	416760	568560	288
6822	Fengselsfag	482040	487320	467760	505200	430	482040	487320	467760	505200	430	NULL	NULL	NULL	NULL	NULL
6165	Interiør- og dekoratørutdanninger	476880	411960	355320	559200	421	382920	371160	331200	410040	260	587760	560760	422760	678600	161
6812	Luftfartsfag	1073760	1216560	872520	1336560	419	NULL	NULL	NULL	NULL	NULL	1190280	1257600	1123680	1344840	343
7117	Språkvitenskapelige utdanninger	573600	558960	488760	629040	409	520920	537360	465720	589200	136	597840	570960	504720	652920	273
4812	Luftfartsfag	668640	540960	420000	820320	405	465960	420000	340200	525240	157	786360	702840	500040	1005840	248
7359	Medie- og informasjonsfag, andre	489600	480840	409560	555480	401	459840	452880	386280	510000	264	542400	552000	462360	612000	137
7652	Fysioterapi	526920	516480	458760	578880	400	480720	484920	435120	536640	173	560760	541680	486240	618000	227
7819	Samferdsel, andre	633240	600000	499920	719760	395	540000	520800	450960	599520	171	702840	679800	563760	790920	224
7379	Juridiske fag, andre	634440	539280	466080	737280	380	507360	478320	420000	542880	148	705120	609600	504000	829440	232
4643	Tannteknikk	508680	479280	409200	562680	379	NULL	NULL	NULL	NULL	NULL	509520	480000	410040	562680	377
6132	Kunsthistorie	462360	429120	349680	541800	377	350760	336480	311160	389760	141	502560	474360	403680	568680	236
7211	Førskole-/barnehagelærerutdanninger	557400	555120	490560	620040	373	534000	532560	466080	578880	155	574560	573360	524520	639960	218
7249	Utdanninger i pedagogikk, andre	569640	576480	512040	638760	369	570120	594000	528960	638760	183	569040	569760	508440	639480	186
6149	Religionsutdanninger, andre	408360	402960	339000	448560	365	400680	383760	329160	444480	257	422160	425040	367440	456120	108
4359	Medie- og informasjonsfag, andre	421080	399960	343680	480000	341	361080	355080	311400	398520	114	446160	420000	366000	515640	227
6135	Filosofi og etikk	452400	407760	333840	531000	340	377520	340800	311760	407040	181	504600	473520	382680	585120	159
7563	Naturgeografi	739920	671160	598080	834960	317	NULL	NULL	NULL	NULL	NULL	739920	671160	598080	834960	317
7141	Bibel-, misjonær- og menighetsarbeid	525960	535680	473160	565440	316	510600	523680	462360	558360	148	538800	543960	486480	570840	168
4352	Journalistikk	529080	499560	428400	600000	314	NULL	NULL	NULL	NULL	NULL	546240	521880	438840	621240	270
7232	Samfunnsfag og juridiske fag, lærerutdanninger	516480	516000	492960	532920	311	516480	516000	492960	532920	311	NULL	NULL	NULL	NULL	NULL
6116	Translatørutdanninger	536760	504000	433800	600000	310	NULL	NULL	NULL	NULL	NULL	552960	513840	446040	613080	273
6121	Litteraturutdanninger	468720	445920	375360	523320	298	NULL	NULL	NULL	NULL	NULL	493920	461400	397200	534720	215
6721	Jordbruk	498360	457200	394080	560760	290	416760	398640	353520	452040	112	539640	519120	434400	600480	178
6521	Fysiske fag	438360	410400	338280	511920	286	358800	346440	311400	393960	182	NULL	NULL	NULL	NULL	NULL
6133	Arkeologi	414360	389640	339120	451560	284	366120	362040	324000	397560	159	453360	423720	372000	499200	125
7532	Statistikk	946080	817080	611400	1044960	280	NULL	NULL	NULL	NULL	NULL	999120	882480	654960	1100040	243
6141	Bibel-, misjonær- og menighetsarbeid	475440	447720	387960	529200	275	NULL	NULL	NULL	NULL	NULL	501720	479280	418080	549480	196
7512	Botaniske fag	668400	636240	548160	710040	272	NULL	NULL	NULL	NULL	NULL	668400	636240	548160	710040	272
6117	Språkvitenskapelige utdanninger	464040	442440	350760	537360	271	363720	345360	313440	393240	136	524880	483120	435480	600000	135
6661	Farmasi	405120	389760	352080	453000	260	397560	385200	351720	435720	228	NULL	NULL	NULL	NULL	NULL
7372	Kriminologi	534840	512160	458760	609480	257	NULL	NULL	NULL	NULL	NULL	562920	547800	474960	621960	183
6513	Mikrobiologi og cellebiologi	418200	398880	332640	484560	256	366600	345000	313200	399960	167	NULL	NULL	NULL	NULL	NULL
7442	Hotell- og restaurantfag	571080	512040	410880	658440	250	NULL	NULL	NULL	NULL	NULL	620400	552000	451200	729960	184
7529	Fysiske og kjemiske fag, andre	537360	490680	451320	585120	249	502080	472560	450960	539760	178	NULL	NULL	NULL	NULL	NULL
6672	Dyrepleie	384720	367200	324000	433440	242	342600	327960	311400	362760	123	422040	410040	365760	474120	119
6641	Odontologi	368280	350760	315120	389760	242	353520	343200	309600	378720	227	NULL	NULL	NULL	NULL	NULL
7559	Utdanninger i elektrofag, mekaniske fag og maskinfag, andre	804720	675360	553800	970440	239	605280	569880	525000	661440	132	1044600	970440	766200	1200000	107
7112	Utdanninger i slaviske, baltiske og finsk-ugriske språk	618840	599520	516960	661320	229	NULL	NULL	NULL	NULL	NULL	626280	599880	534240	667080	208
7149	Religionsutdanninger, andre	476280	463560	411960	532800	228	448080	439080	378240	502440	136	NULL	NULL	NULL	NULL	NULL
7119	Språkutdanninger, andre	517560	519960	436560	591000	220	NULL	NULL	NULL	NULL	NULL	533760	532320	454200	614520	149
7539	Matematikk og statistikk, andre	704040	635040	537600	822360	218	NULL	NULL	NULL	NULL	NULL	777000	710040	595080	860520	140
7349	Samfunnsøkonomiske fag, andre	691080	607920	503880	751080	213	NULL	NULL	NULL	NULL	NULL	705000	616320	505440	772440	194
4822	Fengselsfag	552840	548040	503160	588600	213	NULL	NULL	NULL	NULL	NULL	552840	548040	503160	588600	213
7584	Gruvedrift og utvinning	1226400	1115160	794640	1400040	209	NULL	NULL	NULL	NULL	NULL	1226400	1115160	794640	1400040	209
6561	Geologi	500040	463320	352680	601920	204	NULL	NULL	NULL	NULL	NULL	578040	561240	449880	660240	106
2599	Naturvitenskapelige fag, håndverksfag og tekniske fag, andre	497040	457920	391680	550440	193	NULL	NULL	NULL	NULL	NULL	497040	457920	391680	550440	193
7122	Bibliotekutdanninger	564240	538920	480720	612960	188	NULL	NULL	NULL	NULL	NULL	584760	558120	490920	638280	135
6579	Bygg- og anleggsfag, andre	501240	480000	410640	564000	186	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7166	Konfeksjons- og tekstilkunstutdanninger	511680	490560	428760	575280	186	NULL	NULL	NULL	NULL	NULL	520320	501360	443520	583440	165
6559	Utdanninger i elektrofag, mekaniske fag og maskinfag, andre	609000	588720	523440	669960	175	NULL	NULL	NULL	NULL	NULL	635400	604440	543720	681840	131
4159	Musikk, dans og drama, andre	521280	471960	401520	590640	174	NULL	NULL	NULL	NULL	NULL	521280	471960	401520	590640	174
7731	Gartneri og hagebruk	608640	581040	516840	663960	172	NULL	NULL	NULL	NULL	NULL	608640	581040	516840	663960	172
4237	Samferdsel, tjenesteyting og sikkerhet, lærerutdanninger	550200	517320	467640	600000	167	NULL	NULL	NULL	NULL	NULL	550200	517320	467640	600000	167
7352	Journalistikk	552120	552000	479640	627600	162	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6671	Veterinær	361920	331200	304440	376200	158	348000	329760	304200	364200	148	NULL	NULL	NULL	NULL	NULL
7165	Interiør- og dekoratørutdanninger	619560	600600	504720	733560	158	NULL	NULL	NULL	NULL	NULL	628320	624000	517680	738600	149
4231	Humaniora og estetikk, lærerutdanninger	447720	416400	388440	486600	155	NULL	NULL	NULL	NULL	NULL	447720	416400	388440	486600	155
6255	Videreutdanninger for lærere, økonomiske og administrative fag	545640	568680	522240	589080	154	545640	568680	522240	589080	154	NULL	NULL	NULL	NULL	NULL
6653	Kiropraktor	536520	540000	409800	651600	154	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6562	Geofysikk	659760	575760	444360	788280	154	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6349	Samfunnsøkonomiske fag, andre	487080	450960	355920	542880	154	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7679	Veterinærfag, andre	500520	480720	413640	535560	152	NULL	NULL	NULL	NULL	NULL	513240	490440	423600	545520	123
4123	Forfatterutdanninger	665640	639960	505800	752520	151	NULL	NULL	NULL	NULL	NULL	665640	639960	505800	752520	151
6719	Fiske og havbruk, andre	687000	631920	511320	779160	145	NULL	NULL	NULL	NULL	NULL	689760	631920	511320	779160	143
6549	Informasjons- og datateknologi, andre	401400	376680	315600	487080	142	392400	368880	315120	467640	137	NULL	NULL	NULL	NULL	NULL
6123	Forfatterutdanninger	450240	444960	357720	514440	142	446760	432000	360480	500040	123	NULL	NULL	NULL	NULL	NULL
7644	Odontologi, spesialistutdanninger for tannleger	788160	834240	562200	950040	141	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6643	Tannteknikk	465000	450000	391200	508680	141	NULL	NULL	NULL	NULL	NULL	489240	467640	423840	527160	109
6159	Musikk, dans og drama, andre	479760	456960	376200	541560	140	NULL	NULL	NULL	NULL	NULL	488040	460320	388680	551640	123
6529	Fysiske og kjemiske fag, andre	430560	384000	332520	485040	139	394440	354120	326160	456840	120	NULL	NULL	NULL	NULL	NULL
6166	Konfeksjons- og tekstilkunstutdanninger	497160	461640	420000	546960	138	NULL	NULL	NULL	NULL	NULL	513600	496800	430440	561120	115
6232	Samfunnsfag og juridiske fag, lærerutdanninger	385080	351000	319800	426720	131	378000	349560	317640	411840	128	NULL	NULL	NULL	NULL	NULL
6539	Matematikk og statistikk, andre	487440	431880	366840	518640	117	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4149	Religionsutdanninger, andre	407760	382680	312600	447960	117	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4111	Utdanninger i germanske og romanske språk	587040	517680	447600	693960	116	NULL	NULL	NULL	NULL	NULL	587040	517680	447600	693960	116
7813	Maritime navigasjonsfag	659280	623520	485040	818880	115	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7629	Sosialfag, andre	527520	523800	469560	578880	114	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7251	Videreutdanninger for lærere, uspesifisert	557040	561000	519960	606360	111	NULL	NULL	NULL	NULL	NULL	557040	561000	519960	606360	111
4119	Språkutdanninger, andre	488040	460800	401760	528000	111	NULL	NULL	NULL	NULL	NULL	488040	460800	401760	528000	111
4749	Skogbruk, andre	539520	527520	454200	602160	111	NULL	NULL	NULL	NULL	NULL	539520	527520	454200	602160	111
6825	Brannvernfag	518880	484080	403560	532560	107	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
